state,constituency,parliament_code,parliament,num_of_dun,num_of_pdm,turn_out_spr_ge15,election_year_15,party_win_ge15,candidate_win_ge15,bn_votes_ge15,bn_components_ge15,bn_candidates_ge15,ph_votes_ge15,ph_components_ge15,ph_candidates_ge15,pn_votes_ge15,pn_components_ge15,pn_candidates_ge15,majority_ge15,bn_status_ge15,ph_status_ge15,pn_status_ge15,base_stock_ge15,party_win_ge14,election_year_14,candidate_win_ge14,majority_ge14,turn_out_spr_ge14,base_stock_ge14,bn_votes_ge14,pas_votes_ge14,ph_votes_ge14,bn_components_ge14,ph_components_ge14,bn_status_ge14,ph_status_ge14,pas_status_ge14,all_voters_ge14,melayu_voters_ge14,chinese_voters_ge14,india_voters_ge14,lain_voters_ge14,sabah_voters_ge14,swak_voters_ge14,oa_voters_ge142,male_ge14,female_ge14,under40_ge14,above41_ge14,average_bn_votes_3ge,all_voters_ge15,pos_voters_ge15,awal_voters_ge15,awam_voters_ge15,melayu_voters_ge15,melayu_ge15_pct,chinese_voters_ge15,chinese_ge15_pct,india_voters_ge15,india_ge15_pct,oa_voters_ge15,sabah_voters_ge15,swak_voters_ge15,lain_voters_ge15,lain_lain,basestock_vs_votersge15_pct,basestock_turnout_ge15,new_voters_ge15,age18_25_ge15,age18_20_ge15,age21_40_ge15,age41_60_ge15,age61_90_ge15,under40_ge15,above41_ge15,all_voters_feb26,pos_feb26,awal_feb26,awam_feb26,melayu_feb26,chinese_feb26,india_feb26,oa_feb26,sabah_feb26,swak_feb26,lain_26,lain_lain_feb26,male_feb26,female_26,under40_feb26,under40_feb26_pct,above_41_feb26,above41_feb26_pct,u0,u1,u2,u3,members_all,members_man,members_woman,members_youth,members_pu3,num_branch,num_womanbranch,num_youthbranch,num_pu3_branch
PERLIS,PARLIMEN,1.0,001 PADANG BESAR,5.0,27.0,0.765,GE15,PN,RUSHDAN BIN RUSMI ,11753.0, UMNO,ZAHIDA BINTI ZARIKH KHAN ,7085.0,AMANAH,KAPT (B) HJ MOHAMAD YAHAYA ,24267.0, PAS,RUSHDAN BIN RUSMI ,12514.0,0.0,0.0,1.0,35063.0,BN-UMNO,GE14,ZAHIDI BIN ZAINUL ABIDIN,1438.0,0.812,27894.0,15032.0,7874.0,13594.0,UMNO,PPBM,1.0,0.0,0.0,46096.0,39914.0,3895.0,413.0,1403.0,160.0,304.0,7.0,23084.0,23012.0,19821.0,26275.0,17832.0,60192.0,9.0,2191.0,57992.0,51890.0,0.862,4862.0,0.081,533.0,0.009,6.0,192.0,327.0,2382.0,2907.0,0.583,26761.0,17218.0,10015.0,3234.0,29090.0,16967.0,10901.0,32324.0,27868.0,61462.0,0.0,1843.0,59619.0,53293.0,4643.0,517.0,7.0,185.0,308.0,2509.0,3009.0,30749.0,30713.0,30603.0,0.498,30859.0,0.502,3205.0,28816.0,16832.0,10869.0,21292.0,7471.0,9734.0,2739.0,1348.0,134.0,134.0,134.0,123.0
PERLIS,PARLIMEN,2.0,002 KANGAR,5.0,31.0,0.761,GE15,PN,CIKGU ZAKRI ,15370.0, UMNO,DR FATHULBARI ,15143.0, PKR,AMIN AHMAD ,24562.0, PPBM,CIKGU ZAKRI ,9192.0,0.0,0.0,1.0,38511.0,PH-PKR,GE14,NOOR AMIN BIN AHMAD,5603.0,0.817,33071.0,15306.0,8465.0,20909.0,UMNO,PKR,0.0,0.0,0.0,55938.0,45706.0,8518.0,952.0,669.0,50.0,42.0,1.0,27395.0,28543.0,22697.0,33241.0,20823.0,74859.0,6.0,1016.0,73837.0,61186.0,0.817,11005.0,0.147,1187.0,0.016,3.0,96.0,53.0,1329.0,1481.0,0.514,27937.0,22494.0,12967.0,4225.0,34847.0,21661.0,14126.0,39072.0,35787.0,76682.0,0.0,1026.0,75656.0,63209.0,10753.0,1131.0,6.0,117.0,65.0,1401.0,1589.0,37941.0,38741.0,37311.0,0.487,39371.0,0.513,4195.0,34525.0,21466.0,14057.0,17255.0,5839.0,8242.0,2147.0,1027.0,122.0,122.0,121.0,116.0
PERLIS,PARLIMEN,3.0,003 ARAU,5.0,30.0,0.782,GE15,PN,SHAHIDAN BIN KASIM ,8242.0, UMNO,ROZABIL @ TOK BEN ,7089.0, PKR,FATHIN AMELINA ,31548.0, PAS,SHAHIDAN BIN KASIM ,23306.0,0.0,0.0,1.0,33397.0,BN-UMNO,GE14,SHAHIDAN BIN KASSIM,4856.0,0.839,31485.0,16547.0,11362.0,11691.0,UMNO,PPBM,1.0,0.0,0.0,48187.0,42246.0,3690.0,809.0,1365.0,48.0,26.0,3.0,23441.0,24746.0,18702.0,29485.0,17458.0,60876.0,4.0,459.0,60413.0,53163.0,0.873,4734.0,0.078,1000.0,0.016,5.0,71.0,50.0,1853.0,1979.0,0.549,14485.0,15813.0,10082.0,3260.0,26968.0,19250.0,11398.0,30228.0,30648.0,61904.0,0.0,386.0,61518.0,54245.0,4673.0,969.0,8.0,69.0,54.0,1886.0,2017.0,30162.0,31742.0,28861.0,0.466,33043.0,0.534,3227.0,26758.0,19122.0,11378.0,20307.0,7235.0,9330.0,2461.0,1281.0,133.0,132.0,132.0,128.0
KEDAH,PARLIMEN,4.0,004 LANGKAWI,2.0,27.0,0.721,GE15,PN,MOHD SUHAIMI ABDULLAH ,11945.0, UMNO,DATO' ARMINSHAH SIRAJ (DAS) ,5417.0,AMANAH,ZABIDI YAHYA ,25463.0, PPBM,MOHD SUHAIMI ABDULLAH ,13518.0,0.0,0.0,1.0,30077.0,PH-PPBM,GE14,MAHATHIR BIN MOHAMAD,8893.0,0.826,25263.0,10061.0,5512.0,18954.0,UMNO,PPBM,0.0,1.0,0.0,42697.0,38585.0,2778.0,1048.0,130.0,87.0,68.0,1.0,21875.0,20822.0,18351.0,24346.0,15077.0,66777.0,4.0,1126.0,65647.0,60026.0,0.899,4504.0,0.067,1622.0,0.024,3.0,204.0,104.0,314.0,625.0,0.45,27937.0,22494.0,12967.0,4225.0,34847.0,21661.0,14126.0,39072.0,35787.0,70986.0,0.0,1246.0,69740.0,63962.0,4639.0,1663.0,7.0,230.0,119.0,366.0,722.0,36045.0,34941.0,39541.0,0.557,31445.0,0.443,4181.0,34638.0,20571.0,8294.0,14129.0,4821.0,5923.0,1718.0,1667.0,103.0,103.0,101.0,101.0
KEDAH,PARLIMEN,5.0,005 JERLUN,2.0,35.0,0.783,GE15,PN,DR. ABD GHANI AHMAD ,11229.0, UMNO,OTHMAN BIN AZIZ ,6149.0, PKR,DR. MOHAMED FADZIL MOHD ALI ,31685.0, PAS,DR. ABD GHANI AHMAD ,20456.0,0.0,0.0,1.0,27957.0,PH-PPBM,GE14,MUKHRIZ MAHATHIR,5866.0,0.828,28801.0,12413.0,12829.0,18695.0,UMNO,PPBM,0.0,1.0,0.0,54132.0,49388.0,3730.0,80.0,911.0,14.0,9.0,0.0,26515.0,27617.0,20316.0,33816.0,18666.0,67601.0,2.0,35.0,67564.0,61407.0,0.908,4570.0,0.068,99.0,0.001,0.0,37.0,19.0,1469.0,1525.0,0.414,20575.0,17156.0,10791.0,3462.0,29093.0,21845.0,13201.0,32555.0,35046.0,68313.0,0.0,25.0,68288.0,62264.0,4389.0,96.0,0.0,39.0,19.0,1506.0,1564.0,33573.0,34740.0,30575.0,0.448,37738.0,0.552,2930.0,28720.0,22239.0,13570.0,20681.0,8025.0,9375.0,2174.0,1107.0,168.0,168.0,166.0,150.0
KEDAH,PARLIMEN,6.0,006 KUBANG PASU,2.0,44.0,0.781,GE15,PN,DATO' WIRA DR. KU ABD RAHMAN BIN KU ISMAIL ,14489.0, UMNO,HASMUNI BIN HASSAN (TOK MUNI) ,16000.0, PKR,AIZUDDIN ARIFFIN ,47584.0, PPBM,DATO' WIRA DR. KU ABD RAHMAN BIN KU ISMAIL ,31584.0,0.0,0.0,1.0,42010.0,PH-PPBM,GE14,AMIRUDDIN BIN HAMZAH,13009.0,0.832,47453.0,16975.0,13375.0,29984.0,UMNO,PPBM,0.0,1.0,0.0,73881.0,63900.0,6302.0,2574.0,834.0,147.0,120.0,4.0,36309.0,37572.0,31442.0,42439.0,24829.0,108217.0,17.0,2567.0,105633.0,93209.0,0.861,9401.0,0.087,3705.0,0.034,9.0,206.0,160.0,1527.0,1902.0,0.388,19392.0,38101.0,22056.0,7242.0,53799.0,30215.0,16961.0,61041.0,47176.0,113477.0,0.0,2411.0,111066.0,98411.0,9418.0,3676.0,10.0,207.0,158.0,1597.0,1972.0,56324.0,57153.0,60578.0,0.534,52899.0,0.466,6081.0,54040.0,30903.0,17772.0,22765.0,8912.0,10924.0,2071.0,858.0,163.0,162.0,159.0,128.0
KEDAH,PARLIMEN,7.0,007 PADANG TERAP,2.0,31.0,0.825,GE15,PN,USTAZ NURUL AMIN ,17258.0, UMNO,MAHDZIR KHALID ,2702.0,AMANAH,MUAZ ABDULLAH ,28217.0, PAS,USTAZ NURUL AMIN ,10959.0,0.0,0.0,1.0,33054.0,BN-UMNO,GE14,MAHDZIR BIN KHALID,1099.0,0.856,26519.0,16384.0,15285.0,7254.0,UMNO,AMANAH,1.0,0.0,0.0,46644.0,42981.0,593.0,92.0,2947.0,19.0,11.0,1.0,22947.0,23697.0,20440.0,26204.0,17224.0,59806.0,2.0,206.0,59598.0,54844.0,0.917,784.0,0.013,99.0,0.002,1.0,37.0,17.0,4024.0,4079.0,0.553,25672.0,15870.0,10710.0,3356.0,28592.0,18386.0,9472.0,31948.0,27858.0,61694.0,0.0,248.0,61446.0,56599.0,780.0,92.0,2.0,44.0,18.0,4159.0,4223.0,30242.0,31452.0,30592.0,0.496,31102.0,0.504,2824.0,28416.0,18880.0,9839.0,17928.0,5974.0,7747.0,2604.0,1603.0,144.0,144.0,144.0,139.0
KEDAH,PARLIMEN,8.0,008 POKOK SENA,3.0,52.0,0.775,GE15,PN,DATO' AHMAD YAHAYA ,14523.0, UMNO,NORAN ZAMINI BIN JAMALUDDIN ,20524.0,AMANAH,DATO' WIRA HJ MAHFUZ OMAR ,52275.0, PAS,DATO' AHMAD YAHAYA ,31751.0,0.0,0.0,1.0,39166.0,PH-AMANAH,GE14,MAHFUZ BIN OMAR,5558.0,0.828,42505.0,18390.0,23401.0,28959.0,UMNO,AMANAH,0.0,0.0,0.0,86892.0,70767.0,13426.0,2178.0,348.0,73.0,97.0,3.0,42664.0,44228.0,35358.0,51534.0,24870.0,114838.0,16.0,2293.0,112529.0,93660.0,0.816,17433.0,0.152,2940.0,0.026,8.0,98.0,88.0,611.0,805.0,0.341,25840.0,34069.0,19218.0,5946.0,53258.0,34586.0,21048.0,59204.0,55634.0,117483.0,0.0,2453.0,115030.0,96787.0,16939.0,2886.0,7.0,127.0,88.0,649.0,871.0,58132.0,59351.0,56301.0,0.479,61182.0,0.521,4955.0,52782.0,35111.0,22005.0,19460.0,7777.0,8872.0,2041.0,770.0,164.0,164.0,155.0,128.0
KEDAH,PARLIMEN,9.0,009 ALOR SETAR,3.0,52.0,0.736,GE15,PN,AFNAN HAMIMI BIN DATO' HJ TAIB AZAMUDDIN ,8930.0, MCA,TAN CHEE HIONG ,27555.0, PKR,SIMON OOI TZE MIN ,37486.0, PAS,AFNAN HAMIMI BIN DATO' HJ TAIB AZAMUDDIN ,9931.0,0.0,0.0,1.0,33869.0,PH-PKR,GE14,CHAN MING KAI,15200.0,0.811,35299.0,14181.0,17275.0,32475.0,MCA,PKR,0.0,0.0,0.0,80272.0,51040.0,25461.0,3419.0,239.0,44.0,68.0,1.0,38787.0,41485.0,29177.0,51095.0,20138.0,105994.0,19.0,703.0,105272.0,67204.0,0.634,33655.0,0.318,4581.0,0.043,6.0,91.0,52.0,405.0,554.0,0.32,22598.0,30968.0,15913.0,4917.0,45585.0,32187.0,23305.0,50502.0,55492.0,106443.0,0.0,692.0,105751.0,68387.0,32961.0,4481.0,5.0,96.0,59.0,454.0,614.0,52032.0,54411.0,46703.0,0.439,59740.0,0.561,4177.0,44969.0,32375.0,24157.0,14997.0,5097.0,7163.0,1759.0,978.0,110.0,110.0,109.0,104.0
KEDAH,PARLIMEN,10.0,010 KUALA KEDAH,3.0,52.0,0.766,GE15,PN,DR. AHMAD FAKHRUDDIN ,13879.0, UMNO,DATO' DR MASHITAH BINTI IBRAHIM ,28237.0, PKR,DR AZMAN ISMAIL ,56298.0, PAS,DR. AHMAD FAKHRUDDIN ,28061.0,0.0,0.0,1.0,48736.0,PH-PKR,GE14,AZMAN BIN ISMAIL,13481.0,0.824,35041.0,19400.0,23143.0,36624.0,UMNO,PKR,0.0,0.0,0.0,97753.0,76515.0,19799.0,1113.0,272.0,36.0,18.0,0.0,47460.0,50293.0,38536.0,59217.0,28665.0,132500.0,10.0,77.0,132413.0,100761.0,0.76,29499.0,0.223,1602.0,0.012,0.0,51.0,49.0,538.0,638.0,0.368,16427.0,40930.0,22972.0,7263.0,60774.0,40747.0,23716.0,68037.0,64463.0,135367.0,0.0,74.0,135293.0,103445.0,29640.0,1573.0,0.0,64.0,53.0,592.0,709.0,66331.0,69036.0,64513.0,0.477,70854.0,0.523,6176.0,60512.0,41216.0,24698.0,20521.0,8204.0,9780.0,1738.0,799.0,165.0,164.0,159.0,136.0
